driverId,week,hours-logged,miles-logged
62,30,65,4000
93,42,80,400
92,47,80,1300
30,9,78,1200
60,38,77,1200
56,38,72,2200
56,22,55,2000
103,21,69,2400
20,32,65,900
106,16,62,3300
99,3,66,3900
87,23,64,2500
37,52,70,1500
74,6,52,3100
88,27,73,1000
64,34,79,3700
84,45,74,900
108,11,59,3400
64,45,53,3500
63,51,68,3800
53,14,53,1700
61,23,76,2200
55,48,53,1700
62,46,58,2900
33,7,80,2700
57,52,55,500
48,51,63,3800
18,18,65,1000
107,49,60,2600
23,19,76,100
27,20,55,700
76,37,51,3800
44,12,71,100
31,32,51,3200
107,37,66,800
77,12,73,2900
70,9,56,400
63,43,74,1000
69,9,78,2700
39,12,66,1800
47,19,63,3100
66,8,63,2900
33,25,70,1100
91,18,61,400
18,12,51,3000
83,6,53,3600
56,39,69,3100
37,35,69,2500
27,39,69,1600
42,37,62,4000
13,27,55,500
102,23,77,1300
31,5,71,3700
95,51,56,1000
64,14,63,3400
78,11,54,2000
15,36,79,700
78,31,65,3300
21,36,75,2100
84,5,60,1700
107,13,71,2600
92,23,62,900
74,23,76,0
28,31,62,4000
21,22,52,3300
44,3,59,3300
83,11,79,200
45,1,55,1000
59,12,73,3200
35,2,68,3200
67,3,72,3600
48,34,75,1000
96,28,62,2400
50,45,68,500
109,49,77,2900
11,35,64,1100
31,2,69,900
66,13,51,1100
63,4,50,500
37,9,77,2300
24,28,68,2200
65,32,51,0
50,1,68,3800
74,8,80,3000
67,12,60,2200
69,5,59,200
63,12,62,3900
29,27,69,2000
69,5,52,100
70,32,73,2700
90,22,78,1400
57,47,73,1500
61,51,77,1900
32,46,52,3500
18,43,76,1500
20,11,73,3200
19,1,56,200
27,48,65,3800
95,14,71,3300
40,33,64,1700
38,24,54,3900
96,52,54,3400
53,29,64,0
14,24,76,1700
74,2,70,3400
91,6,71,3900
86,29,51,600
106,45,71,2900
10,2,64,1200
84,40,52,4000
60,20,64,2200
96,32,77,3300
81,21,75,3300
64,23,76,300
24,21,67,2200
49,42,60,300
54,20,76,2100
22,50,74,3800
99,21,50,2600
22,29,55,2200
106,17,55,1600
86,12,71,200
16,39,65,1300
85,21,64,1800
87,38,77,200
109,28,77,3300
77,47,71,1100
71,24,58,3800
29,34,55,1200
69,47,79,2700
62,34,53,1500
34,32,75,1700
79,1,62,1200
108,8,71,3600
38,43,73,3000
13,50,63,1300
53,35,65,0
88,28,50,3300
77,40,55,1100
97,14,74,3900
16,30,59,2500
17,32,68,2500
108,15,60,0
108,37,72,3100
66,8,65,2500
29,40,62,1900
86,19,57,3400
47,10,72,1600
20,15,79,700
64,35,56,1800
12,27,55,300
78,44,60,600
49,24,64,3600
10,48,52,3800
21,29,78,2100
82,31,55,800
38,1,62,3100
97,48,74,300
107,27,79,2800
51,33,63,200
39,10,65,2100
53,20,80,1600
11,12,66,2700
30,15,57,900
45,9,79,2500
105,5,61,1800
107,52,60,700
28,4,78,3200
93,29,73,1800
82,15,51,3600
47,12,68,3900
65,18,71,0
109,25,73,2000
28,18,73,1400
57,36,64,1100
73,19,73,900
34,3,60,1500
107,20,57,900
33,23,77,400
90,41,80,1100
96,14,79,2900
79,15,50,1200
107,30,57,3200
39,3,50,2900
73,38,79,600
57,20,63,100
17,23,73,2000
52,49,64,2700
65,9,74,600
100,29,58,1600
65,20,54,2700
11,52,64,1900
10,20,65,900
93,47,52,1400
101,42,72,1300
101,8,66,0
109,30,56,3400
66,22,58,300
47,27,50,2800
52,11,67,2200
16,3,51,300
54,10,51,2400
77,52,53,3300
94,20,57,3400
17,20,53,500
71,32,72,1300
107,23,69,3400
98,38,56,1000
34,8,66,3300
96,9,76,500
103,33,62,700
83,26,64,1700
103,16,71,1300
44,41,73,1500
16,46,74,200
78,11,68,2800
33,13,70,3300
10,30,73,3400
44,4,73,1800
67,23,69,1400
87,46,76,3100
26,44,78,3100
60,33,64,1300
84,8,63,3300
79,41,71,2900
102,43,77,4000
10,13,62,600
37,2,51,500
16,48,67,1500
46,24,77,3800
16,22,70,1200
65,36,74,2000
78,13,73,2300
87,9,51,900
20,37,79,1100
51,24,60,700
10,22,71,3000
43,31,54,600
11,11,57,1800
87,16,55,3200
21,45,50,3600
19,38,60,2900
13,31,70,700
19,16,61,900
30,50,60,3600
75,22,53,1800
39,32,67,800
86,14,51,3900
98,21,61,300
35,25,59,3300
59,5,55,1100
108,11,67,3600
10,43,57,1700
109,19,69,1000
102,44,75,800
85,23,72,2900
35,7,77,1900
52,2,66,2300
77,49,80,1000
10,16,64,3000
78,1,74,3200
28,23,74,2300
39,11,55,2700
59,48,65,2600
56,13,78,1800
32,20,80,300
67,52,53,1600
86,49,52,3300
70,8,74,2900
17,45,50,1100
75,8,67,1800
25,32,68,3300
16,20,72,800
59,42,56,600
59,42,56,2600
85,41,68,1600
101,44,80,3300
98,51,56,300
101,39,55,100
73,39,50,1800
27,28,60,2300
53,35,67,1100
74,34,51,3900
96,45,58,4000
91,2,57,800
38,25,79,2800
29,10,70,1500
108,46,58,300
88,37,75,3500
38,36,74,2700
41,21,58,3600
64,17,51,3900
21,37,80,1900
23,22,57,2100
12,18,59,3300
54,27,53,600
85,44,62,800
75,17,67,300
12,47,62,500
26,51,50,1900
71,47,69,3800
98,49,60,3400
84,28,77,3000
23,38,77,900
26,45,62,3600
89,49,75,800
109,26,54,100
41,12,67,100
80,23,61,2000
40,44,75,500
91,43,59,500
79,18,65,800
68,17,58,200
28,21,57,3700
22,52,70,2200
104,8,75,900
109,6,61,1500
47,7,51,3100
51,33,72,1900
19,22,67,3200
97,20,50,2500
109,52,51,1200
56,29,79,2700
74,18,53,1400
16,36,65,100
88,20,73,3800
35,2,66,1200
31,2,73,0
26,2,79,3800
101,11,63,1800
18,18,61,3600
40,34,65,3100
61,32,53,3800
34,49,73,1700
103,18,69,800
54,44,66,2000
54,26,53,200
22,40,51,100
105,45,53,500
43,33,68,2800
66,44,51,0
95,13,69,2100
95,10,63,3300
32,3,59,2000
59,26,55,3700
23,20,63,1100
27,10,52,3300
88,48,76,2100
66,9,51,1100
99,33,56,2700
37,30,56,2700
24,48,79,3800
69,39,52,2000
15,49,73,1000
50,6,76,2300
31,21,69,1100
86,43,73,2900
66,41,71,1400
25,3,63,3000
13,49,72,700
40,41,77,2700
69,17,69,400
17,32,51,3000
54,45,55,0
33,35,75,1100
78,45,62,1700
103,38,58,900
103,19,77,2100
107,36,61,2300
32,30,77,700
13,51,56,400
77,43,62,300
88,8,54,3600
66,22,80,1300
24,22,60,3600
67,41,71,100
33,43,51,3100
46,32,66,1700
93,7,79,1800
94,33,78,3200
93,40,52,200
19,32,70,2200
43,3,73,3400
51,46,62,400
106,50,70,2300
85,49,79,300
64,26,70,0
59,43,61,100
42,16,70,4000
53,8,57,3800
10,38,55,2600
62,26,77,3700
62,22,75,1700
43,51,79,2200
19,30,67,700
106,10,66,3600
68,16,67,3200
42,7,58,2100
77,30,50,2300
29,14,59,2600
53,42,74,2400
18,7,50,3000
66,18,55,2500
67,41,68,1000
84,38,64,1900
109,33,51,1800
103,28,76,2700
73,45,58,1700
56,41,77,1400
53,7,66,1300
65,21,50,1600
57,17,79,2500
64,36,57,4000
19,15,66,2800
97,49,80,900
107,30,51,1400
22,16,51,700
78,43,78,1700
45,11,60,3700
92,40,71,2200
56,42,54,2200
56,45,68,1600
45,20,63,3600
83,37,53,3500
99,30,78,4000
98,48,80,2700
14,39,78,2400
67,8,60,100
95,9,73,2400
77,15,55,3000
12,10,64,1500
41,1,59,700
97,30,53,2000
41,10,60,3300
58,39,66,800
83,48,55,200
95,30,76,1800
19,2,80,3700
49,35,55,0
63,38,65,300
80,25,65,2400
34,48,61,1800
93,46,51,1400
94,27,78,600
65,6,72,3300
51,22,66,3000
103,10,80,1800
90,35,70,900
87,50,63,3300
16,43,57,800
33,20,58,1300
101,13,69,2700
97,1,58,2200
30,15,73,1100
65,28,70,1100
55,35,57,900
11,37,61,400
50,36,56,2600
79,25,73,2600
103,49,76,500
27,47,50,1100
66,44,75,3400
31,25,75,2600
63,7,68,2700
108,4,79,2200
101,33,80,500
72,27,68,2600
76,42,53,2600
95,49,70,1400
47,42,56,1900
67,40,78,2500
14,8,64,1600
69,45,52,1000
78,3,60,800
57,50,63,3300
42,29,73,3600
31,4,66,3700
